stair steps,MD9N,N46,O,N, ,,stá°st²«ps,AA,1
stairs,SC11M!,2n213!,N,N,,,st²º°z,AA,21
stairway,SC11M!,2n213!,N,Y,,HRD,åst²«º°õwe«º,AA,21
staircase,SC11M!,2n213!,N,Y,,HRD,åsti½º°õkˆ`e«º{°}s,AA,21
steps,SC16N,N217,N,N, , , ,AA,22
upstairs,SC16N,N217,P,Y, ,INA,õ¦½påst²«º°z,AA,22
steps,SC18N,N219,N,N, ,,,AA,23
stairway,SC18N,N219,N,N, ,,åst±½º{°}õweº{±},AA,23
stairstep,SC19N,N220,N,N, , ,õsteº°åst²½¾p,AA,24
stairsteps,SC22N,N223,N,N,,,åst{h}²°st²ps,AA,25
steps,SC24N,N225,N,N, ,, ,AA,26
stairway,SC38N,N239,N,N, ,,åstá½º°weº{±},AA,27
steps,SC38N,N239,N,N,"""ladder"" ",,,AA,27
stairsteps,SC38N,N239,N,N, ,,åstáº°İst±İ½ps,AA,27
steps,SC38N,N239,N,N, ,CNV,,AA,27
ladder,SC38N,N239,N,Y, ,INA,,AA,27
steps,SC42N,N243,N,N, ,,,AA,28
stairs,SC42N,N243,N,N, ,,åstá«¾º°İz,AA,28
staircase,SC42N,N243,N,N, ,,åstá«¾°õkˆ`e«º±¿¼s,AA,28
landing,SC42N,N243,N,N, ,,,AA,28
NR,SC42M,N243X,,N, ,, ,AA,29
stairs,GA1N,N246,N,N,"""ladder"" ",,åstá«°z,AA,30
ladder,GA1N,N246,N,Y,,INA,,AA,30
steps,GA1N,N246,N,N,,,,AA,30
staircase,GA1N,N246,N,N,,,åst²«ºõke½ºs,AA,30
NR,GA2N,N247,,N, , ,,AA,31
stairsteps,GA4N,N249,N,N,,,åste°½st²ps,AA,32
stairway,GA11N,N258A,N,N,,,åstáº°õw{e}º,AA,33
stairs,GA11N,N258A,N,N,,,åstáº°z,AA,33
steps,GA11N,N258A,N,N,outside,,,AA,33
upstairs,GA17N,N264,P,N, ,,¸«¼påstá«°z,AA,34
flight of stairs,GA17N,N264,O,N, ,,åfla«¾{±¿}t$°$õstá«°z,AA,34
flight of stairs,GA17N,N264,O,N,never heard a pair of stairs,,fla¼º±¿½t$°v$st²{±¿}z,AA,34
NR,GA24N,N269,,N, ,, ,AA,35
upstairs,GA25N,N269A,N,N, ,,¸«¼påst²°z,AA,36
stair,GA25N,N269A,N,N,stairway,SIC,st²°,AA,36
stairsteps,GA34N,N273,N,N,,,st²¾°õst²«ps,AA,37
stairs,GA34N,N273,N,N,,CNV,st²«º°z,AA,37
steps,GA35N,N273A,,N, , , ,AA,38
stairs,GA35N,N273A,N,N, , ,stáº°z,AA,38
stairsteps,GA35N,N273A,N,N, , ,åstá°õst²ps,AA,38
stairsteps,GA36N,N274A,N,N,in,,åstá°õst±½{°}ps,AA,39
stairs,GA36N,N274A,N,N,,,åstá«°z,AA,39
steps,GA36N,N274A,N,N,out,,,AA,39
NR,GA37N,2N274,,N,,,,AA,40
stairs,GA37M!,NC274,N,N, , ,stáº°z,AA,41
stairway,GA37M!,NC274,N,N, , ,åstáº°õwe±¿,AA,41
stairs,GA37M!,NC274,N,N, , ,st²½°z,AA,41
stairway,GA37M!,NC274,N,N, , ,stá°we±¾,AA,41
NR,SC45GA, ,,N,,, ,AA,42
NR,SC45GB, ,,N, ,,,AA,43
NR,SC45GC, ,,N,,,,AA,44
NR,SC46GA, ,,N,,,,AA,45
NR,SC46GB, ,,N,,,,AA,46
NR,SC46GC, ,,N,,,,AA,47
NR,SC47GA, ,,N,,, ,AA,48
NR,SC47GB, ,,N,,,,AA,49
NR,SC47GC, ,,N,, ,,AA,50
NR,SC48GA, ,,N, , ,,AA,51
NR,SC48GB, ,,N,,,,AA,52
NR,SC48GC, ,,N,,,,AA,53
NR,GA45GA, ,,N, ,,,AA,54
NR,GA45GB, ,,N, ,, ,AA,55
NR,GA45GC, ,,N, ,, ,AA,56
NR,GA47GA, ,,N, ,,,AA,57
NR,GA47GB, ,,N, , , ,AA,58
NR,GA47GC, ,,N, ,,,AA,59
NR,GA48GA, ,,N, ,, ,AA,60
NR,GA48GB, ,,N, ,,,AA,61
NR,GA48GC, ,,N,,,,AA,62
