yes indeed,MD9N,N46,K,N, , , ,AA,1
oh yes,SC11M!,2n213!,K,N, ,CNV, ,AA,21
okay,SC11M!,2n213!,A,N, ,CNV, ,AA,21
okay,SC11M!,2n213!,A,N, ,CNV, ,AA,21
really,SC11M!,2n213!,K,N, ,CNV, ,AA,21
oh yeah,SC11M!,2n213!,K,N, ,CNV, ,AA,21
certainly,SC16N,N217,B,N, ,CNV, ,AA,22
sure,SC16N,N217,A,N, ,CNV, ,AA,22
sure,SC18N,N219,A,N,,CNV, ,AA,23
of course,SC18N,N219,O,N,,CNV, ,AA,23
that's all right,SC18N,N219,S,N,, , ,AA,23
all right,SC18N,N219,K,N,,CNV, ,AA,23
all right,SC18N,N219,K,N,,CNV, ,AA,23
of course,SC18N,N219,O,N,,CNV, ,AA,23
all right,SC18N,N219,K,N,, , ,AA,23
NR,SC19N,N220, ,N, , , ,AA,24
NR,SC22N,N223, ,N, , , ,AA,25
NR,SC24N,N225, ,N, , , ,AA,26
yes sirree,SC38N,N239,O,N, , , ,AA,27
certainly,SC38N,N239,B,N, , , ,AA,27
of course,SC38N,N239,O,N, ,CNV, ,AA,27
yeah lord,SC38N,N239,O,N, , , ,AA,27
it sure is,SC42N,N243,S,N, ,CNV, ,AA,28
sure,SC42N,N243,A,N, ,CNV, ,AA,28
of course,SC42M,N243X,O,N, ,CNV, ,AA,29
that's right,SC42M,N243X,S,N, ,CNV, ,AA,29
of course,SC42M,N243X,O,N, ,CNV, ,AA,29
all right,SC42M,N243X,K,N, ,CNV, ,AA,29
sure that's right,GA1N,N246,S,N, ,CNV, ,AA,30
of course,GA1N,N246,O,N, , , ,AA,30
for sure,GA1N,N246,Q,N, , , ,AA,30
certainly,GA1N,N246,B,N, , , ,AA,30
sure,GA2N,N247,B,N, , , ,AA,31
certainly,GA4N,N249,B,N, , , ,AA,32
you bet,GA4N,N249,S,Y, ,SUG, ,AA,32
course,GA11N,N258A,N,N, ,CNV, ,AA,33
that's right,GA11N,N258A,S,N, , , ,AA,33
that's right,GA11N,N258A,S,N, , , ,AA,33
course,GA11N,N258A,N,N, , , ,AA,33
********,GA11N,N258A,,Y, ,DDT, ,AA,33
that's right,GA17N,N264,S,N, ,CNV, ,AA,34
that's right,GA17N,N264,S,N, , , ,AA,34
that's right,GA17N,N264,S,N,"does not use ""right smart"" ", , ,AA,34
that's right,GA17N,N264,S,N, , , ,AA,34
I've hearen that,GA17N,N264,S,Y,"has heard ""passel"" ",INA, ,AA,34
that's right,GA24N,N269,S,N, ,CNV, ,AA,35
sure enough,GA25N,N269A,K,N, , , ,AA,36
sure enough,GA25N,N269A,K,N, , , ,AA,36
that's right,GA25N,N269A,S,N, , , ,AA,36
that's right,GA25N,N269A,S,N, , , ,AA,36
sure,GA34N,N273,A,N, ,CNV, ,AA,37
that's right,GA35N,N273A,S,N, ,CNV, ,AA,38
sure,GA35N,N273A,A,N, , , ,AA,38
sure,GA35N,N273A,A,N, , , ,AA,38
sure did,GA35N,N273A,E,N, , , ,AA,38
sure that's right,GA36N,N274A,S,N, ,CNV, ,AA,39
sure,GA36N,N274A,A,N, , , ,AA,39
sure,GA36N,N274A,A,N, , , ,AA,39
course,GA37N,2N274,N,N, , , ,AA,40
sure,GA37N,2N274,A,N, , , ,AA,40
that's right,GA37N,2N274,S,N, , , ,AA,40
of course,GA37M!,NC274,Q,N, , , ,AA,41
of course,GA37M!,NC274,Q,N, , , ,AA,41
of course,GA37M!,NC274,Q,N, , , ,AA,41
of course,GA37M!,NC274,Q,N, , , ,AA,41
of course,GA37M!,NC274,Q,N, , , ,AA,41
of course,GA37M!,NC274,Q,N, , , ,AA,41
certainly,GA37M!,NC274,B,N, ,CNV, ,AA,41
certainly,GA37M!,NC274,B,N, , , ,AA,41
sure enough,GA37M!,NC274,K,N, , , ,AA,41
sure,GA37M!,NC274,A,N, , , ,AA,41
certainly,GA37M!,NC274,B,N, , , ,AA,41
that's right,GA37M!,NC274,S,N, ,CNV, ,AA,41
that's right,GA37M!,NC274,S,N, ,, ,AA,41
that's right,GA37M!,NC274,S,N, ,, ,AA,41
agreed,GA37M!,NC274,A,N, ,, ,AA,41
yes sir,GA37M!,NC274,O,Y, ,HRD/DDT, ,AA,41
sure,SC45GA, ,A,N,, , ,AA,42
sure ,SC45GB, ,A,N, , , ,AA,43
of course,SC45GB, ,Q,N, , , ,AA,43
sure,SC45GC, ,A,N, , , ,AA,44
certainly,SC46GA, ,B,N, , , ,AA,45
sure,SC46GA, ,A,N, , , ,AA,45
yes,SC46GB, ,B,N, , , ,AA,46
sure,SC46GB, ,A,N, , , ,AA,46
of course,SC46GB, ,O,N, , , ,AA,46
sure,SC46GC, ,A,N, , , ,AA,47
certainly,SC46GC, ,B,Y, ,SUG, ,AA,47
sure,SC47GA, ,A,N, , , ,AA,48
of course,SC47GA, ,O,Y, ,SUG, ,AA,48
certainly,SC47GB, ,B,N, , , ,AA,49
sure,SC47GC, ,A,N, , , ,AA,50
of course,SC47GC, ,O,N, , , ,AA,50
sure,SC48GA, ,A,N, , , ,AA,51
of course,SC48GA, ,O,N, , , ,AA,51
sure,SC48GB, ,A,N, , , ,AA,52
yes,SC48GB, ,B,N, , , ,AA,52
sure,SC48GC, ,A,N, , , ,AA,53
of course,SC48GC, ,O,N, , , ,AA,53
sure ,GA45GA, ,A,N, , , ,AA,54
sure,GA45GB, ,A,N, , , ,AA,55
sure,GA45GC, ,A,Y, ,SUG, ,AA,56
sure,GA47GA, ,A,N, , , ,AA,57
sure,GA47GB, ,A,N, , , ,AA,58
sure,GA47GC, ,A,N, , , ,AA,59
sure,GA48GA, ,A,N, , , ,AA,60
sure,GA48GB, ,A,N, , , ,AA,61
certainly,GA48GC, ,B,Y, ,SUG, ,AA,62
