"light bread",MD9N,N46,O,N,,,,AA,1
"loaf bread",SC13NA,,O,N,,,,AA,48
"wasp nest",SC13NA,,O,Y,,SUG,,AA,48
"baker bread",SC13NB,,O,N,,,,AA,49
"loaf bread",SC13NB,,O,Y,,REP,,AA,49
"loaf bread",SC13NC,,O,N,,,,AA,50
"wasp nest bread",SC13NC,,O,N,,,,AA,50
"loaf bread",SC18NA,,O,N,,,,AA,51
"wasp nest bread",SC18NA,,O,Y,"more common years ago",SUG/OLD,,AA,51
"loaf bread",SC18NB,,O,N,,,,AA,52
"wheat bread",SC18NB,,O,N,,,,AA,52
"loaf bread",SC18NC,,O,N,,,,AA,53
"light bread",GA3NA,,O,N,,,,AA,54
"wasp nest",GA3NA,,O,N,,,,AA,54
"loaf bread",GA3NA,,O,Y,,REP,,AA,54
"loaf bread",GA3NB,,O,N,,,,AA,55
"wasp nest",GA3NB,,O,Y,,REP,,AA,55
"loaf bread",GA3NC,,O,N,,,,AA,56
"wasp nest",GA3NC,,O,Y,"used to say",OLD,,AA,56
"light bread",GA4NA,,O,N,,,,AA,57
"wasp nest",GA4NA,,O,Y,,REP,,AA,57
"loaf bread",GA4NB,,O,N,,,,AA,58
"light bread",GA4NC,,O,N,,,,AA,59
"loaf bread",GA4NC,,O,N,,,,AA,59
"wasp nest",GA4NC,,O,N,,,,AA,59
"light bread",GA5NA,,O,N,,,,AA,60
"loaf bread",GA5NB,,O,N,,,,AA,61
"wasp nest",GA5NB,,O,Y,,REP,,AA,61
"loaf bread",GA5NC,,O,N,,,,AA,62
