rolls,MD9N,N46,N,N,,,,AA,1
biscuit,GA4NA,,N,N,,,,AA,57
roll,GA4NA,,N,N,,,,AA,57
waffle,GA4NB,,N,N,,,,AA,58
biscuit,GA4NB,,N,N,,,,AA,58
"batter cake",GA4NB,,O,N,,,,AA,58
biscuit,GA4NC,,N,N,,,,AA,59
roll,GA4NC,,N,N,,,,AA,59
"sweetened bread",GA4NC,,O,N,,,,AA,59
biscuit,GA5NA,,N,N,,,,AA,60
waffle,GA5NA,,N,N,,,,AA,60
roll,GA5NA,,N,N,,,,AA,60
"batter cake",GA5NA,,O,N,,,,AA,60
"light bread",GA5NB,,O,N,,,,AA,61
roll,GA5NB,,N,N,,,,AA,61
cake,GA5NB,,N,N,,,,AA,61
biscuit,GA5NC,,N,N,,,,AA,62
cake,GA5NC,,N,N,,,,AA,62
roll,GA5NC,,N,N,,,,AA,62
pies,GA5NC,,N,N,,,,AA,62
slapjack,GA5NC,,N,N,,,,AA,62
"batter cake",GA5NC,,O,N,,,,AA,62
