NR,MD9N,N46,,N," "," "," ",AA,1
"potato patch",SC24N,N225,O,N,"up to ten acres if you wanted it; had to fence crops"," "," ",AA,26
"cotton field",SC24N,N225,N,N,large," "," ",AA,26
"cotton field",SC38N,N239,O,N,"over acre"," "," ",AA,27
"corn field",SC38N,N239,O,N,"over acre"," "," ",AA,27
"cabbage farm",SC38N,N239,O,N,"over acre"," "," ",AA,27
"tobacco farm",SC38N,N239,O,N,"over acre"," "," ",AA,27
"tobacco patch",SC38N,N239,O,N,"less than \"a acre\""," "," ",AA,27
"tobacco patch",SC38N,N239,O,N,"less than \"a acre\""," "," ",AA,27
"a acre",SC38N,N239,O,Y,,INA," ",AA,27
"tobacco farm",SC42N,N243,O,N," "," "," ",AA,28
"cotton patch",SC42N,N243,O,N," "," "," ",AA,28
"cotton patch",SC42N,N243,O,N," "," "," ",AA,28
"tobacco patch",SC42N,N243,O,N," "," "," ",AA,28
NR,SC42M,N243X,,N," "," "," ",AA,29
field,GA1N,N246,N,N," "," "," ",AA,30
field,GA1N,N246,N,N,"now \"iron fence\""," "," ",AA,30
"iron fence",GA1N,N246,O,Y,,INA," ",AA,30
"cotton field",GA1N,N246,O,N,,," ",AA,30
field,GA2N,N247,N,Y," ",AUX/CNV," ",AA,31
"tobacco field",GA2N,N247,O,Y," ",AUX/CNV," ",AA,31
"little patch",GA2N,N247,O,N," ",CNV," ",AA,31
patch,GA4N,N249,N,N," "," "," ",AA,32
"field ",GA11N,N258A,N,N," ",," ",AA,33
"field ",GA11N,N258A,N,N," ",," ",AA,33
"cotton lot",GA11N,N258A,O,N," ",," ",AA,33
hoeing,GA11N,N258A,V,Y," ",INA," ",AA,33
"chop it",GA11N,N258A,E,Y," ",INA," ",AA,33
"chop it",GA11N,N258A,E,Y," ",INA," ",AA,33
"field grass",GA11N,N258A,O,Y," ",INA," ",AA,33
field,GA17N,N264,N,N," "," "," ",AA,34
farm,GA17N,N264,N,N," "," "," ",AA,34
field,GA17N,N264,N,N," "," "," ",AA,34
patch,GA17N,N264,N,N,"one to two acres"," "," ",AA,34
"cotton patch",GA17N,N264,O,N,," "," ",AA,34
patch,GA17N,N264,N,N,"smaller, an acre or two"," "," ",AA,34
fields,GA24N,N269,N,N," "," "," ",AA,35
patches,GA24N,N269,N,N," "," "," ",AA,35
"corn field",GA25N,N269A,O,N," "," "," ",AA,36
farm,GA25N,N269A,N,N," "," "," ",AA,36
field,GA25N,N269A,N,N," ",CNV," ",AA,36
lot,GA25N,N269A,N,N," ",," ",AA,36
task,GA25N,N269A,N,N,smaller,," ",AA,36
NR,GA34N,N273,,N," "," "," ",AA,37
"cotton field",GA35N,N273A,O,N," "," "," ",AA,38
"hay field",GA35N,N273A,O,N," "," "," ",AA,38
"patch of tobacco",GA35N,N273A,O,N," "," "," ",AA,38
garden,GA35N,N273A,N,N,smaller,," ",AA,38
"cotton patch",GA36N,N274A,O,N,"up to one to two acres"," "," ",AA,39
"cotton field",GA36N,N274A,O,N,," "," ",AA,39
"cane patch",GA36N,N274A,O,N,,CNV," ",AA,39
farm,GA37N,2N274,N,N," "," "," ",AA,40
garden,GA37M!,NC274,N,N," "," "," ",AA,41
garden,GA37M!,NC274,N,N," "," "," ",AA,41
field,GA37M!,NC274,N,N," "," "," ",AA,41
"cabbage patch",GA37M!,NC274,O,N,"with certain vegetables"," "," ",AA,41
"cabbage patch",GA37M!,NC274,O,N,," "," ",AA,41
"briar patch",GA37M!,NC274,O,N,"cabbage, briar",," ",AA,41
"potato patch",SC11NA," ",O,N," "," "," ",AA,42
"corn field",SC11NA," ",O,N," "," "," ",AA,42
"cotton field",SC11NA," ",O,N," "," "," ",AA,42
field,SC11NB," ",N,N," "," "," ",AA,43
field,SC11NC," ",N,N," "," "," ",AA,44
"potato patch",SC12NA," ",O,N," "," "," ",AA,45
"tater patch",SC12NB," ",O,N," "," "," ",AA,46
"cabbage field",SC12NB," ",O,N," "," "," ",AA,46
field,SC12NC," ",N,N," "," "," ",AA,47
patch,SC12NC," ",N,N," "," "," ",AA,47
field,SC13NA," ",N,N," "," "," ",AA,48
"corn field",SC13NB," ",O,N," "," "," ",AA,49
"potato patch",SC13NB," ",O,N," "," "," ",AA,49
field,SC13NC," ",N,N," "," "," ",AA,50
field,SC18NA," ",N,N,"\"a cabbage patch\" is smaller than a field"," "," ",AA,51
"cabbage patch",SC18NA," ",O,N," ",," ",AA,51
field,SC18NB," ",N,N," "," "," ",AA,52
field,SC18NC," ",N,N," "," "," ",AA,53
patch,SC18NC," ",N,N," "," "," ",AA,53
garden,GA3NA," ",N,N," "," "," ",AA,54
field,GA3NB," ",N,N,"for peas, corn, watermelons, etc."," "," ",AA,55
"potato patch",GA3NB," ",O,Y," ",REP," ",AA,55
garden,GA3NC," ",N,N," "," "," ",AA,56
"truck patch",GA3NC," ",O,Y," ",REP," ",AA,56
field,GA4NA," ",N,N,"a \"patch\" is smaller"," "," ",AA,57
patch,GA4NA," ",N,N,,," ",AA,57
field,GA4NB," ",N,N," "," "," ",AA,58
garden,GA4NB," ",N,Y," ",REP," ",AA,58
"potato patch",GA4NC," ",O,N,"Sometimes \"cabbage\" is put in the \"field\"."," "," ",AA,59
cabbage,GA4NC," ",N,Y," ",INA," ",AA,59
field,GA4NC," ",N,Y," ",INA," ",AA,59
field,GA5NA," ",N,N," "," "," ",AA,60
"cabbage field",GA5NB," ",O,N," "," "," ",AA,61
"potato field",GA5NB," ",O,Y," ",REP," ",AA,61
"cabbage patch",GA5NC," ",O,N," "," "," ",AA,62
"potato field",GA5NC," ",O,N," "," "," ",AA,62
