"marsh","NY1","50","N","N","cranberries, no grass","mµ∞éÛ","MS",-0-,1.
"marsh","NY9B","433","N","N",-0-,"mµ´æ¥Û","MS",-0-,38.
"marsh","NY9C","434","N","N",-0-,"mµ¥Û","MS",-0-,39.
"marsh","NY10A","435","N","N",-0-,"mµ¥Û","MS",-0-,40.
"marsh","NY10B!","436!","N","N",-0-,"mﬁóº¥Û","MS",-0-,41.
"NR","NY11","438",-0-,"N",-0-,-0-,"MS",-0-,42.
"marsh","NY12A","439(*)","N","N",-0-,"mµ¥Û","MS",-0-,43.
"marsh","NY12A","439(*)","N","Y",-0-,"m·∫{∞´º}Û","MS","AUX",43.
"NR","NY12B","440",-0-,"N",-0-,-0-,"MS",-0-,44.
"NR","NY12C!","441!",-0-,"N",-0-,-0-,"MS",-0-,45.
"marsh","NY13A","443","N","N",-0-,"mµ¥Û","MS",-0-,46.
"marsh","NY13B!","444!","N","N",-0-,"maæ∫Û","MS",-0-,47.
"marsh","NY14A","445","N","N","on river, cattails","mµæ∫¥Û","MS",-0-,48.
"marsh","NY14B","446","N","N",-0-,"mµ´º¥Û","MS",-0-,49.
"marsh","NY15A","447","N","N",-0-,"maæ∫¥Û","MS",-0-,50.
"NR","NY15B","448",-0-,"N",-0-,-0-,"MS",-0-,51.
"marsh","NY16A","449","N","N",-0-,"mµ:Û","MS",-0-,52.
"marsh","NY16B","450","N","N","river cattails","mµæ∫¥Û","MS",-0-,53.
"marsh","NY17A","451(*)","N","Y",-0-,"m·∫Û","MS","SUG",54.
"marsh","NY17A","451(*)","N","Y",-0-,"mµ¥Û","MS","AUX",54.
"marsh","NY17B","452","N","N",-0-,"mµº¥Û","MS",-0-,55.
"marsh","NY18A","453","N","N",-0-,"maæ¥Û","MS",-0-,56.
"marsh","NY18B","454","N","N",-0-,"maæ¥Û","MS",-0-,57.
"marsh","NY18C!","455!","N","N",-0-,"mµ∫{∞é}Û","MS",-0-,58.
"marsh","NY19","456","N","N",-0-,"mµº∞Û","MS",-0-,59.
"marsh","NY20A","457","N","N",-0-,"mµ´¥Û","MS",-0-,60.
"marsh","NY20B","458","N","N",-0-,"maæ¥Û","MS",-0-,61.
"marsh","NY21","459","N","N",-0-,"maæ¥Û","MS",-0-,62.
"marsh","NY22","460","N","N",-0-,"maæ¥Û","MS",-0-,63.
"marsh","NY23A","461","N","N",-0-,"mµé¥Û","MS",-0-,64.
"marsh land","NY23B","462a","O","N","along lakes","Âmµé¥Û$ıl·´∫{∞}n","MS",-0-,65.
"marsh","NY24A","463","N","N",-0-,"maæ¥Û","MS",-0-,67.
"marsh","NY24B!","464!","N","N",-0-,"maæ¥Û","MS",-0-,68.
"marshes","NY25A","465","N","N",-0-,"mµé∫¥Û±øºz","MS","CNV",69.
"marsh","NY25A","465","N","N",-0-,"maéæÛ","MS",-0-,69.
"marsh","NY25B","466","N","N",-0-,"mµé∫¥Û","MS",-0-,70.
"marsh","NY25B","466","N","N",-0-,"mµéº¥Û","MS",-0-,70.
"marsh","NY26A","467","N","N","shrubs","mµé¥Û","MS",-0-,71.
"shrubs","NY26A","467","N","Y","soft","séÚéä∏Ωbs","MS","INA",71.
"NR","NY26B","468",-0-,"N",-0-,-0-,"MS",-0-,72.
"NR","NY26C","469",-0-,"N",-0-,-0-,"MS",-0-,73.
"marshes","NY27A","470","N","N","along lake","mµé¥Û±øºz","MS","CNV",74.
"marsh land","NY27B","471","O","N",-0-,"Âmµé¥Û$ıl·∫n","MS",-0-,75.
"marsh land","NY27C","472","O","N",-0-,"Âmµéº¥Û$ıl·˛∫{≤˛}n","MS",-0-,76.
"marsh land","NY28A","473a","O","N","marsh grass","Âmµé¥Û$ıl·∫n","MS",-0-,77.
"marsh grass","NY28A","473a","O","Y",-0-,"Âm•Ω¥Û$ıgrá·s","MS","INA",77.
"marsh","NY28B","473b(*)","N","N",-0-,"mµé¥Û","MS",-0-,78.
"marshy land","NY28B","473b(*)","O","N",-0-,"Âmµé¥Û±´æ$ıl·∫n","MS",-0-,78.
"NA","NY28C",-0-,-0-,"N",-0-,-0-,"MS",-0-,79.
"marsh","NY29A","474a","N","N",-0-,"mµé¥Û","MS",-0-,80.
"marsh","NY29B","474b","N","N","dries up in summer; marsh hay","maéæ¥Û","MS",-0-,81.
"marsh hay","NY29B","474b","O","Y",-0-,"Âmµéº¥Û$ıheΩ∫{±ø}","MS","INA",81.
"marsh","NY29C","474c","N","N","too wet","mµé¥Û","MS",-0-,82.
"NR","NY30A","475a",-0-,"N",-0-,-0-,"MS",-0-,83.
"NR","NY30B","475b",-0-,"N",-0-,-0-,"MS",-0-,84.
"NR","NY30C","475c",-0-,"N",-0-,-0-,"MS",-0-,85.
"marsh","NY30D","475d","N","N","""you get in there and you can't","mµé¥Û","MS","RN1",86.
"marsh","NY30E","475e","N","N","open place","m•é¥Û","MS",-0-,87.
"NR","NY32A","479a",-0-,"N",-0-,-0-,"MS",-0-,90.
"NR","NY32B","479b",-0-,"N",-0-,-0-,"MS",-0-,91.
"marshes","NY33A","480","N","N","wetter than a swamp","mµé¥Û±øºz","MS",-0-,92.
"NA","NY33B","481",-0-,"N",-0-,-0-,"MS",-0-,93.
"marsh","NY33C","482","N","N",-0-,"mµé¥Û","MS",-0-,94.
"NR","NY34A","483",-0-,"N",-0-,-0-,"MS",-0-,95.
"NA","NY34B","484",-0-,"N",-0-,-0-,"MS",-0-,96.
"marsh","NY35A","487","N","N",-0-,"maæ¥Û","MS",-0-,99.
"marsh","NY35B","488","N","N",-0-,"mµ¥Û","MS",-0-,100.
"marsh","NY35C!","489!","N","N",-0-,"mµæ∫{¥}Û","MS",-0-,101.
"NR","NY36A","491",-0-,"N",-0-,-0-,"MS",-0-,102.
"marsh","NY36B","492","N","N",-0-,"maæ¥Û","MS",-0-,103.
"marsh","NY37A","493","N","N",-0-,"maæ¥Û","MS",-0-,104.
"marsh","NY37B","494","N","N",-0-,"mµº¥Û","MS",-0-,105.
"marsh","NY37C!","495!","N","N",-0-,"mµ¥Û","MS",-0-,106.
"marsh","NY38A","497(*)","N","N",-0-,"mµ¥Û","MS",-0-,107.
"marsh","NY38B","498","N","N",-0-,"ma´æ¥Û","MS",-0-,108.
"marsh","NY38C",-0-,"N","N",-0-,"mµº¥Û","MS",-0-,109.
"marsh","NY39A","499","N","N",-0-,"m·∫Û","MS",-0-,110.
"marsh","NY39B","500","N","N",-0-,"mµ´º¥Û","MS",-0-,111.
"marsh","NY40A","501","N","N",-0-,"maæ¥Û","MS",-0-,112.
"marsh","NY40B","502","N","N",-0-,"ma¥Û","MS",-0-,113.
"marsh","NY41","504","N","N",-0-,"mµ´º¥Û","MS",-0-,114.
"marsh","NY42A","505","N","N",-0-,"mµº¥Û","MS",-0-,115.
"NR","NY42B","506",-0-,"N",-0-,-0-,"MS",-0-,116.
"NR","NY43A","507",-0-,"N",-0-,-0-,"MS",-0-,117.
"marsh","NY43B","507b","N","N",-0-,"mµ´º¥Û","MS",-0-,118.
"marsh","NY43C!","508!","N","N",-0-,"mµ´º¥Û","MS",-0-,119.
"marsh","NY44A","511","N","N",-0-,"mµ¥Û","MS",-0-,120.
"marsh","NY44B","512","N","N",-0-,"mµ¥Û","MS",-0-,121.
"marsh land","NY45A","513a","O","N",-0-,"Âm•éΩ¥Û$ıl·´∫n","MS",-0-,122.
"swale marsh","NY45A","513a","O","N","""up to Watkins¢","ÂsweΩ±øÏ$ımµé¥Û","MS",-0-,122.
"NR","NY45B","513b",-0-,"N",-0-,-0-,"MS",-0-,123.
"NR","NY45C","513c",-0-,"N",-0-,-0-,"MS",-0-,124.
"marshes","NY45D!","513d!","N","N",-0-,"mµ´¥Û±øºz","MS",-0-,125.
"marsh land","NY45D!","513d!","O","N",-0-,"Âm•é¥Û$ıl·´∫{∞}n","MS",-0-,125.
"marsh","NY46B","515b","N","N",-0-,"mµº¥Û","MS",-0-,127.
"marshes","NY46C","515c","N","N","common","mµ¥Û±øºz","MS",-0-,128.
"quagmire","NY46C","515c","N","N","literary","kw·gmaæ±´¥","MS",-0-,128.
"marshes","NY46C","515c","N","N","common","mµº¥Û±øºz","MS",-0-,128.
"marsh","NY47A","517(*)","N","N",-0-,"mµé¥Û","MS",-0-,129.
"marsh","NY47B","518","N","N",-0-,"mµ¥Û","MS",-0-,130.
"marshy land","NY48A","519a","O","N","grass and water","ımµé¥Û±øº$Âl·´∫n","MS",-0-,131.
"marsh","NY48A","519a","N","N","grass and water","mµé¥Û","MS",-0-,131.
"NA","NY48B","519b",-0-,"N",-0-,-0-,"MS",-0-,132.
"marsh","NY48C","519c","N","N",-0-,"mµéº¥Û","MS",-0-,133.
"Montezuma Marshes","NY48C","519c","O","N",-0-,"ÂmµnÒ∞ızuøΩuøm∞$Âmµé¥Û±øºz","MS",-0-,133.
"marsh","NY48D","519d","N","N",-0-,"mµé¥Û","MS",-0-,134.
"NR","NY49A","520",-0-,"N",-0-,-0-,"MS",-0-,135.
"marsh","NY49B","521","N","N",-0-,"mµ¥Û","MS",-0-,136.
"marsh land","NY49C","522a","O","N",-0-,"Âmµº¥Û$ıl·∫{∞}n","MS",-0-,137.
"marsh","NY49D","522b","N","N",-0-,"mµº¥Û","MS",-0-,138.
"marsh","NY49D","522b","N","N",-0-,"maæ¥Û","MS",-0-,138.
"marsh","NY50A","523","N","N",-0-,"mµé∫Û","MS",-0-,139.
"marsh hay","NY50A","523","O","Y","covered stacks","Âmµé∫Û$ıheΩ±øº","MS","INA",139.
"marsh","NY50B","524","N","N","grassy","maæ¥Û","MS",-0-,140.
"marsh land","NY50B","524","O","N","grassy","Âmµéº¥›Û$ıl·´∫nd","MS",-0-,140.
"NR","NY51A","525a",-0-,"N",-0-,-0-,"MS",-0-,141.
"NR","NY51B","525b",-0-,"N",-0-,-0-,"MS",-0-,142.
"marsh","NY51C","525c","N","Y","natural","mµé¥Û","MS","OLD",143.
"NR","NY51D","525d",-0-,"N",-0-,-0-,"MS",-0-,144.
"marsh","NY52A","527","N","Y",-0-,"maéæ¥Û","MS","SUG",146.
"marsh","NY52C","528b","N","N",-0-,"m•é¥Û","MS",-0-,148.
"NR","NY53A","529",-0-,"N",-0-,-0-,"MS",-0-,149.
"marshes","NY53B!","530!","N","N",-0-,"mµé´¥Û±øºz","MS","CNV",150.
"marsh","NY54A","531","N","Y",-0-,"m•¥Û","MS","AUX",151.
"marsh","NY54B","532","N","N",-0-,"mµº¥Û","MS",-0-,152.
"NR","NY55A","533",-0-,"N",-0-,-0-,"MS",-0-,153.
"NR","NY55B","534",-0-,"N",-0-,-0-,"MS",-0-,154.
"NR","NY56A","535",-0-,"N",-0-,-0-,"MS",-0-,155.
"marsh lands","NY56B","536","O","N","none here","Âmµé´¥Û$ıl·´∫nz","MS",-0-,156.
"marsh land","NY57A","537a","O","N",-0-,"Âmµé¥Û$ıl·∫nd","MS",-0-,157.
"marsh","NY57B","537b","N","N",-0-,"mµéº¥Û","MS",-0-,158.
"NR","NY58A","539a",-0-,"N",-0-,-0-,"MS",-0-,160.
"marsh","NY58E!","539e!","N","N",-0-,"mµé¥Û","MS",-0-,164.
"NR","NY58F!","539f!",-0-,"N",-0-,-0-,"MS",-0-,165.
"marsh","NY59A","543","N","N","open ground","mµé¥Û","MS",-0-,166.
"marsh","NY59B","544","N","N",-0-,"maæ¥Û","MS",-0-,167.
"NR","NY61A","547",-0-,"N",-0-,-0-,"MS",-0-,170.
"marsh","NY61B","548","N","N","not much here","mµé¥Û","MS",-0-,171.
"marsh","NY62A","551a","N","N",-0-,"mµé¥Û","MS",-0-,172.
"NR","NY62B","551b",-0-,"N",-0-,-0-,"MS",-0-,173.
"marsh land","NY62C","551c","O","N","wild grass","Âmµé¥Û$ıl·∫{∞}n","MS",-0-,174.
"marsh","NY62C","551c","N","N","wild grass","mµé¥Û","MS",-0-,174.
"NR","NY63A","556a",-0-,"N",-0-,-0-,"MS",-0-,176.
"marsh land","NY63B","556b","O","N","grass","Âmµ´¥Û$ıl·´∫{∞}n","MS",-0-,177.
"NR","NY63C","556c",-0-,"N",-0-,-0-,"MS",-0-,178.
"NR","NY63D!","556d!",-0-,"N",-0-,-0-,"MS",-0-,179.
"marsh","NY64A","557a","N","N","used for grass","mµéº¥Û","MS",-0-,180.
"marsh","NY64C!","557c!","N","N",-0-,"mµé¥Û","MS",-0-,182.
"marsh","NJ1A","1","N","N",-0-,"m∂î´º¥Û","MS",-0-,183.
"meadow","NJ1B","2","N","N","salt","m≤d∞","MS",-0-,184.
"marsh","NJ2A","3(*)","N","N",-0-,"m∂¥Û","MS",-0-,185.
"marsh","NJ2A","3(*)","N","Y",-0-,"mµæ¥Û","MS","AUX",185.
"marsh","NJ2A","3(*)","N","N",-0-,"m·∫{∞}Û","MS","CNV",185.
"marsh","NJ2A","3(*)","N","Y",-0-,"m·Ωæ∫{∞}Û","MS","AUX/SUG/OLD",185.
"marsh","NJ2B","4","N","N",-0-,"mµæ¥Û","MS",-0-,186.
"marsh","NJ3A","5","N","N",-0-,"m·∫{∞}Û","MS",-0-,187.
"marsh","NJ3B","6","N","N",-0-,"mµæ¥Û","MS",-0-,188.
"marsh","NJ4A","7","N","N",-0-,"mµæ¥Û","MS",-0-,189.
"marsh","NJ4B","8","N","N",-0-,"m∂´º¥Û","MS",-0-,190.
"marsh","NJ4B","8","N","N",-0-,"m·∫{¥}Û","MS",-0-,190.
"marsh","NJ5A","9","N","N",-0-,"m∂¥Û","MS",-0-,191.
"marsh","NJ5A","9","N","Y","natural","m·æ∫{∞´º}Û","MS","SUG",191.
"marsh","NJ5B","10","N","N",-0-,"m∂º¥Û","MS",-0-,192.
"meadows","NJ6A","11","N","N","salt","m≤do›ºπ›z","MS",-0-,193.
"marsh","NJ6B","12","N","N","small; full of muskrat holes, not mowed","m∂¥Û","MS",-0-,194.
"marsh","NJ7A","17","N","N",-0-,"mµ´¥Û","MS",-0-,195.
"marsh","NJ7B!","18!","N","N","grassy","mﬁó¥Û","MS",-0-,196.
"meadow","NJ8A","19","N","N","salt","m≤d¥","MS",-0-,197.
"meadow","NJ8B","20","N","N","salt","Âm≤d∞","MS",-0-,198.
"marsh","NJ9A","21","N","N",-0-,"mµæ∫¥Û","MS",-0-,199.
"marsh","NJ9B","22","N","N","salt water","mµ¥Û","MS",-0-,200.
"meadow","NJ10A","24b","N","N","salt","m≤d∞","MS",-0-,201.
"marshes","NJ10B","23","N","N",-0-,"mµæ¥Û∞z","MS",-0-,202.
"marsh","NJ10C","24","N","N",-0-,"mﬁóº¥Û","MS",-0-,203.
"salt meadow","NJ10D!","24c!","O","N","salt","s∂∫Ït$Âm≤do›Ωºπ›","MS",-0-,204.
"NR","NJ11A","25",-0-,"N",-0-,-0-,"MS",-0-,205.
"NR","NJ11B","26a",-0-,"N",-0-,-0-,"MS",-0-,206.
"NR","NJ11C","26b",-0-,"N",-0-,-0-,"MS",-0-,207.
"NR","NJ12A","27",-0-,"N",-0-,-0-,"MS",-0-,208.
"marsh","NJ12B","28","N","N",-0-,"mµóæ¥óÛ","MS",-0-,209.
"NR","NJ13A","29",-0-,"N",-0-,-0-,"MS",-0-,210.
"NR","NJ13B","30",-0-,"N",-0-,-0-,"MS",-0-,211.
"marsh","NJ14A","31","N","N",-0-,"mµæ¥Û","MS",-0-,212.
"marsh","NJ14B","32","N","N",-0-,"mµº¥Û","MS",-0-,213.
"NR","NJ15A","33",-0-,"N",-0-,-0-,"MS",-0-,214.
"NR","NJ15B","34",-0-,"N",-0-,-0-,"MS",-0-,215.
"marsh","NJ16A","35","N","N",-0-,"mﬁ∫¥Û","MS",-0-,216.
"salt meadows","NJ16A","35","O","N",-0-,"s∑Ω∫Ït$m≤d∞z","MS",-0-,216.
"salt meadow","NJ16B","36","O","N",-0-,"s∂´∫Ït$m≤do›Ωºπ›´º","MS",-0-,217.
"salt meadows","NJ17A","37","O","N",-0-,"Âs∑Ω∫Ït$ım≤d∞z","MS",-0-,218.
"salt meadow","NJ17B","38","O","N",-0-,"s∑Ω∫Ït$m≤d∞","MS",-0-,219.
"marsh","NJ18A","41","N","N",-0-,"mﬁ:Û","MS",-0-,220.
"meadows","NJ18A","41","N","N","local term","m≤do›Ωºπ›z","MS",-0-,220.
"meadows","NJ18B","42","N","N","traditional local term","m≤doΩºπz","MS",-0-,221.
"marsh","NJ18B","42","N","N",-0-,"mµæ:Û","MS",-0-,221.
"meadow","NJ18C!","43!","N","N","salt, local term","m≤doΩºπ","MS",-0-,222.
"marsh","NJ18C!","43!","N","N",-0-,"mµæ¥Û","MS",-0-,222.
"salt meadows","NJ18D!","44!","O","N","local term","s∑:Ït$Âm≤doΩºπz","MS",-0-,223.
"marsh","NJ18D!","44!","N","N",-0-,"mµ∫¥Û","MS",-0-,223.
"meadows","NJ19A","45","N","N","salt","m≤doºπz","MS",-0-,224.
"meadows","NJ19B!","46!","N","N","same as marsh","m≤doΩºπz","MS",-0-,225.
"marsh","NJ20A","47","N","N","rare","mµæ∫¥Û","MS",-0-,226.
"meadows","NJ20A","47","N","N","salt","m≤d∞z","MS",-0-,226.
"meadow","NJ20B","47b","N","N","salt","m≤doΩπ","MS",-0-,227.
"salt meadow","NJ21A","48","O","N","salt","s∑∫Ït$m≤doπ","MS",-0-,228.
"marsh","NJ21B","49","N","N",-0-,"mµ¥Û","MS",-0-,229.
"marsh","PA1A","51","N","N",-0-,"mµæ∫{r}Û","MS",-0-,230.
"marsh","PA1B","52","N","N",-0-,"mﬁó¥Û","MS",-0-,231.
"marsh","PA1C","53","N","N",-0-,"mﬁó¥Û","MS",-0-,232.
"marsh","PA1D","54","N","N",-0-,"mﬁ¥Û","MS",-0-,233.
"salt marsh","PA1E!","55!","O","N","seashore","s∑∫Ït$mﬁ¥Û","MS",-0-,234.
"marsh","PA1F!","56!","N","N",-0-,"mﬁó¥Û","MS",-0-,235.
"marsh","PA1G!","57!","N","N",-0-,"mµæ¥Û","MS",-0-,236.
"marsh","PA1H!","58!","N","N",-0-,"m∂îº¥Û","MS",-0-,237.
"marsh","PA2A","59","N","N",-0-,"mﬁó¥Û","MS",-0-,238.
"marsh","PA2B","60","N","N",-0-,"mﬁó¥Û","MS",-0-,239.
"marsh","PA3A","61","N","N",-0-,"mﬁº¥Û","MS",-0-,240.
"marsh","PA3B","62","N","N",-0-,"mﬁº¥Û","MS",-0-,241.
"NR","PA3C","62b",-0-,"N",-0-,-0-,"MS",-0-,242.
"marsh","PA5A","65(*)","N","N",-0-,"mﬁó¥Û","MS",-0-,245.
"marsh","PA5A","65(*)","N","Y",-0-,"m·∫Û","MS","AUX",245.
"NR","PA5B","65b",-0-,"N",-0-,-0-,"MS",-0-,246.
"marsh","PA5C","66","N","N",-0-,"mﬁ¥Û","MS",-0-,247.
"NR","PA5D","67",-0-,"N",-0-,-0-,"MS",-0-,248.
"marsh","PA5E!","68!","N","N",-0-,"mﬁº¥Û","MS",-0-,249.
"NR","PA6A","69",-0-,"N",-0-,-0-,"MS",-0-,250.
"marsh","PA6B","71","N","N",-0-,"mﬁº∞æü’Û","MS",-0-,251.
"NR","PA6C","71b",-0-,"N",-0-,-0-,"MS",-0-,252.
"marsh","PA6D!","72!","N","N",-0-,"mﬁº¥Û","MS",-0-,253.
"NR","PA7A","73",-0-,"N",-0-,-0-,"MS",-0-,254.
"NR","PA7B","74",-0-,"N",-0-,-0-,"MS",-0-,255.
"NR","PA7C","75",-0-,"N",-0-,-0-,"MS",-0-,256.
"marsh","PA7D!","76!","N","N",-0-,"mﬁº¥Û","MS",-0-,257.
"marsh","PA8A","77","N","N",-0-,"mµæ∫¥Û","MS",-0-,258.
"marsh","PA8B","78","N","N",-0-,"mﬁº¥Û","MS",-0-,259.
"NR","PA8C","79",-0-,"N",-0-,-0-,"MS",-0-,260.
"marsh","PA8D!","80!","N","N",-0-,"m∂∫¥Û","MS",-0-,261.
"NR","PA9A","83",-0-,"N",-0-,-0-,"MS",-0-,262.
"NR","PA9B","83b",-0-,"N",-0-,-0-,"MS",-0-,263.
"marsh","PA9C!","84!","N","N",-0-,"mﬁó¥Û","MS",-0-,264.
"marsh","PA10","87","N","N",-0-,"mµærÛ","MS",-0-,265.
"NR","PA11A","89",-0-,"N",-0-,-0-,"MS",-0-,266.
"NR","PA11B","90(*)",-0-,"N",-0-,-0-,"MS",-0-,267.
"NR","PA12A","91",-0-,"N",-0-,-0-,"MS",-0-,268.
"NR","PA12B","92",-0-,"N",-0-,-0-,"MS",-0-,269.
"NR","PA13A","93",-0-,"N",-0-,-0-,"MS",-0-,270.
"NR","PA13B","94",-0-,"N",-0-,-0-,"MS",-0-,271.
"NR","PA14A","95(*)",-0-,"N",-0-,-0-,"MS",-0-,272.
"marsh","PA14B","96","N","N",-0-,"mﬁó¥Û","MS",-0-,273.
"marsh","PA14C",-0-,"N","N",-0-,"mµ{r}Û","MS",-0-,274.
"marsh","PA15A","99","N","N",-0-,"mµ¥Û","MS",-0-,275.
"marsh","PA15B","99b","N","N",-0-,"mµ¥Û","MS",-0-,276.
"NR","PA15C!","100!",-0-,"N",-0-,-0-,"MS",-0-,277.
"marsh","PA16A","101","N","N",-0-,"maærü’Û","MS",-0-,278.
"marsh","PA16B","102","N","N",-0-,"mµóæ¥Û","MS",-0-,279.
"NR","PA16C","103",-0-,"N",-0-,-0-,"MS",-0-,280.
"marsh land","PA17A","105","O","N",-0-,"mπΩæÛ$l·ntí","MS",-0-,281.
"NR","PA17B","106",-0-,"N",-0-,-0-,"MS",-0-,282.
"NR","PA18A","107",-0-,"N",-0-,-0-,"MS",-0-,283.
"marsh","PA18B!","108!","N","N",-0-,"mµæ¥Û","MS",-0-,284.
"bog swamp","PA19A","113","O","N","same as marsh","bµæg$swµæmp","MS",-0-,285.
"marsh","PA19B","114","N","N",-0-,"m·∫Û","MS",-0-,286.
"marsh","PA20A","115","N","N",-0-,"m·∫Û","MS",-0-,287.
"marsh","PA20B","116","N","N",-0-,"mµæ¥Û","MS",-0-,288.
"marsh","PA21A","117","N","N",-0-,"mµ¥Û","MS",-0-,289.
"marsh","PA21B","118","N","N",-0-,"mµ¥Û","MS",-0-,290.
"marsh","PA22A","119","N","N",-0-,"mµ¥Û","MS",-0-,291.
"marsh","PA22B","120","N","N",-0-,"mµ¥Û","MS",-0-,292.
"marsh","PA23A","121","N","N",-0-,"ma¥Û","MS",-0-,293.
"marsh","PA23B","122","N","N",-0-,"mµ¥Û","MS",-0-,294.
"marsh","PA24A","123","N","N",-0-,"mµ¥Û","MS",-0-,295.
"marsh","PA24B","124","N","N",-0-,"maæ¥Û","MS",-0-,296.
"NR","PA25A","125",-0-,"N",-0-,-0-,"MS",-0-,297.
"NR","PA25B","126",-0-,"N",-0-,-0-,"MS",-0-,298.
"NR","PA26A","127",-0-,"N",-0-,-0-,"MS",-0-,299.
"NR","PA26B","128",-0-,"N",-0-,-0-,"MS",-0-,300.
"NR","PA27A","131",-0-,"N",-0-,-0-,"MS",-0-,301.
"marsh","PA27B","132","N","N",-0-,"maæ¥Û","MS",-0-,302.
"NR","PA28A","135",-0-,"N",-0-,-0-,"MS",-0-,303.
"NR","PA28B!","136!",-0-,"N",-0-,-0-,"MS",-0-,304.
"NR","PA29A","139(*)",-0-,"N",-0-,-0-,"MS",-0-,305.
"NR","PA29B","140",-0-,"N",-0-,-0-,"MS",-0-,306.
"marsh","PA30A","143","N","N",-0-,"maæ¥Û","MS",-0-,307.
"NR","PA30B","144",-0-,"N",-0-,-0-,"MS",-0-,308.
"NR","PA31A","145",-0-,"N",-0-,-0-,"MS",-0-,309.
"NR","PA31B","146",-0-,"N",-0-,-0-,"MS",-0-,310.
"NR","PA32A","147",-0-,"N",-0-,-0-,"MS",-0-,311.
